iter	Passed	Remaining
1011	256294	250216
1012	256552	249967
1013	256819	249727
1014	257067	249469
1015	257317	249213
1016	257573	248961
1017	257818	248701
1018	258079	248455
1019	258335	248204
1020	258577	247940
1021	258830	247687
1022	259092	247442
1023	259352	247195
1024	259603	246939
1025	259861	246690
1026	260122	246444
1027	260371	246188
1028	260636	245945
1029	260884	245687
1030	261131	245428
1031	261375	245165
1032	261618	244903
1033	261867	244645
1034	262114	244386
1035	262378	244143
1036	262629	243888
1037	262884	243636
1038	263142	243387
1039	263403	243141
1040	263661	242892
1041	263903	242628
1042	264157	242376
1043	264432	242143
1044	264694	241898
1045	264947	241644
1046	265219	241408
1047	265472	241154
1048	265732	240907
1049	265994	240662
1050	266251	240412
1051	266512	240165
1052	266770	239916
1053	267025	239664
1054	267285	239416
1055	267531	239156
1056	267795	238913
1057	268049	238659
1058	268298	238403
1059	268578	238173
1060	268865	237950
1061	269157	237730
1062	269444	237506
1063	269729	237280
1064	270001	237043
1065	270268	236801
1066	270522	236549
1067	270783	236301
1068	271058	236067
1069	271312	235813
1070	271564	235558
1071	271808	235296
1072	272071	235051
1073	272339	234810
1074	272578	234544
1075	272838	234296
1076	273091	234041
1077	273376	233815
1078	273643	233573
1079	273883	233308
1080	274146	233062
1081	274421	232827
1082	274674	232573
1083	274933	232324
1084	275177	232061
1085	275425	231804
1086	275685	231555
1087	275920	231286
1088	276166	231026
1089	276446	230795
1090	276709	230549
1091	276969	230301
1092	277227	230050
1093	277483	229799
1094	277745	229552
1095	278022	229317
1096	278296	229081
1097	278556	228832
1098	278793	228565
1099	279057	228319
1100	279317	228071
1101	279588	227831
1102	279838	227574
1103	280092	227321
1104	280340	227062
1105	280597	226812
1106	280841	226550
1107	281097	226298
1108	281351	226045
1109	281612	225797
1110	281844	225526
1111	282097	225272
1112	282347	225015
1113	282596	224758
1114	282856	224509
1115	283106	224253
1116	283351	223992
1117	283608	223741
1118	283867	223491
1119	284120	223237
1120	284381	222989
1121	284647	222745
1122	284890	222483
1123	285153	222237
1124	285415	221989
1125	285675	221740
1126	285929	221487
1127	286192	221240
1128	286447	220988
1129	286718	220747
1130	286984	220503
1131	287244	220254
1132	287502	220003
1133	287746	219743
1134	287990	219481
1135	288244	219228
1136	288494	218971
1137	288746	218716
1138	289001	218463
1139	289262	218215
1140	289520	217964
1141	289770	217708
1142	290014	217447
1143	290281	217203
1144	290531	216946
1145	290800	216704
1146	291055	216452
1147	291310	216199
1148	291584	215960
1149	291854	215718
1150	292111	215466
1151	292355	215206
1152	292605	214949
1153	292864	214699
1154	293119	214446
1155	293377	214196
1156	293622	213935
1157	293871	213678
1158	294120	213421
1159	294378	213170
1160	294631	212916
1161	294885	212662
1162	295138	212408
1163	295418	212173
1164	295664	211913
1165	295921	211662
1166	296185	211416
1167	296440	211162
1168	296692	210907
1169	296942	210651
1170	297198	210399
1171	297459	210150
1172	297720	209901
1173	297959	209637
1174	298220	209388
1175	298475	209135
1176	298724	208878
1177	298966	208616
1178	299226	208367
1179	299467	208104
1180	299716	207847
1181	299980	207600
1182	300224	207340
1183	300479	207087
1184	300740	206838
1185	300999	206587
1186	301261	206340
1187	301506	206080
1188	301759	205825
1189	302030	205584
1190	302286	205331
1191	302535	205074
1192	302794	204823
1193	303050	204571
1194	303313	204324
1195	303567	204070
1196	303820	203815
1197	304058	203551
1198	304303	203292
1199	304575	203050
1200	304831	202798
1201	305100	202554
1202	305353	202300
1203	305599	202040
1204	305836	201776
1205	306082	201517
1206	306340	201266
1207	306588	201008
1208	306838	200752
1209	307096	200500
1210	307357	200252
1211	307610	199997
1212	307870	199747
1213	308125	199494
1214	308370	199235
1215	308625	198982
1216	308896	198739
1217	309159	198491
1218	309398	198228
1219	309665	197982
1220	309923	197731
1221	310169	197473
1222	310422	197218
1223	310682	196968
1224	310945	196720
1225	311197	196465
1226	311432	196200
1227	311688	195947
1228	311950	195699
1229	312191	195437
1230	312454	195188
1231	312700	194930
1232	312942	194669
1233	313195	194414
1234	313455	194164
1235	313708	193910
1236	313992	193675
1237	314231	193412
1238	314486	193158
1239	314746	192908
1240	314988	192648
1241	315248	192397
1242	315490	192136
1243	315736	191878
1244	315980	191618
1245	316227	191360
1246	316494	191115
1247	316733	190852
1248	316989	190599
1249	317243	190346
1250	317488	190087
1251	317743	189833
1252	317999	189581
1253	318247	189323
1254	318502	189070
1255	318759	188819
1256	318998	188556
1257	319262	188308
1258	319524	188060
1259	319759	187795
1260	320018	187544
1261	320265	187286
1262	320529	187039
1263	320776	186781
1264	321023	186523
1265	321265	186263
1266	321496	185996
1267	321759	185747
1268	322022	185498
1269	322280	185247
1270	322512	184981
1271	322770	184730
1272	323004	184465
1273	323270	184218
1274	323519	183961
1275	323764	183703
1276	324007	183443
1277	324255	183186
1278	324494	182924
1279	324745	182669
1280	325008	182420
1281	325258	182164
1282	325502	181905
1283	325756	181652
1284	326006	181396
1285	326254	181139
1286	326511	180887
1287	326764	180633
1288	327004	180372
1289	327258	180119
1290	327502	179859
1291	327755	179605
1292	328011	179353
1293	328271	179103
1294	328501	178836
1295	328767	178590
1296	329013	178331
1297	329278	178084
